Unnamed: 0,female,black,housing_expense_ratio,self_employed,married,mortgage_credit,consumer_credit,bad_history,PI_ratio,deny,loan_to_value,denied_PMI,accept
137,0.0,0,0.261,0,1.0,2,1,0,0.37,0,0.5813008,0,1
138,0.0,0,0.32299998,0,0.0,2,4,0,0.325,0,0.7819149,0,1
139,0.0,0,0.35799998,0,0.0,1,1,0,0.398,0,0.64285713,0,1
140,0.0,0,0.306,0,0.0,2,2,0,0.395,0,0.8,0,1
141,0.0,0,0.337,0,0.0,2,1,0,0.407,0,0.7489362,0,1
142,1.0,0,0.199,0,0.0,2,1,0,0.301,0,0.7790698,0,1
143,0.0,0,0.318,0,0.0,2,1,0,0.365,0,0.9,0,1
144,1.0,0,0.257,0,0.0,2,1,0,0.266,0,0.7977528,0,1
145,0.0,0,0.24200001,0,1.0,2,1,0,0.268,0,0.8947368,0,1
146,0.0,0,0.22600001,0,1.0,2,1,0,0.269,0,0.7987805,0,1
147,0.0,1,0.315,0,0.0,2,6,0,0.409,0,0.88785046,0,1
148,0.0,0,0.28,0,1.0,2,6,0,0.308,0,0.5813953,0,1
149,1.0,0,0.311,0,0.0,2,5,0,0.311,0,0.6666667,0,1
150,0.0,1,0.3,0,1.0,2,1,0,0.36,0,0.8627451,0,1
151,0.0,0,0.31,0,1.0,2,2,0,0.39,0,0.81333333,0,1
152,0.0,0,0.32,0,1.0,2,1,0,0.32,0,0.7323077,0,1
153,0.0,0,0.16,0,1.0,2,1,0,0.18,0,0.3148148,0,1
154,0.0,0,0.27,0,1.0,2,6,0,0.34,0,0.37980768,0,1
155,1.0,1,0.32799998,0,0.0,2,1,0,0.32799998,0,0.8689655,0,1
156,0.0,1,0.2894,0,0.0,2,6,0,0.3838,1,0.9879518,0,0
157,0.0,1,0.253,0,1.0,2,6,0,0.338,0,0.9,0,1
158,0.0,0,0.271,0,1.0,2,1,0,0.28100002,0,0.4675,0,1
159,0.0,1,0.33380002,0,0.0,2,6,1,0.3923,1,0.90225565,0,0
160,0.0,0,0.20899999,0,1.0,1,1,0,0.363,0,0.47138047,0,1
161,0.0,0,0.2308,0,1.0,1,1,0,0.2458,0,0.31111112,0,1
162,0.0,0,0.3309,0,1.0,2,1,0,0.3821,0,0.7972973,0,1
163,0.0,0,0.28,0,1.0,1,1,0,0.32,0,0.65,0,1
164,0.0,1,0.255,0,1.0,2,5,0,0.286,0,0.65,0,1
165,0.0,0,0.21,0,0.0,1,2,0,0.266,0,0.5555556,0,1
166,0.0,1,0.287,0,1.0,1,1,0,0.315,0,0.9013158,0,1
167,0.0,1,0.239,0,0.0,2,1,0,0.3047,0,0.47826087,0,1
168,0.0,0,0.292,0,0.0,2,1,0,0.338,0,0.9028571,0,1
169,0.0,0,0.273,0,0.0,2,1,0,0.366,0,0.65178573,0,1
170,0.0,1,0.245,1,1.0,2,1,0,0.371,0,0.59322035,0,1
171,0.0,0,0.319,0,1.0,2,1,0,0.38099998,0,0.31558186,0,1
172,0.0,1,0.31,0,0.0,2,1,0,0.35,0,0.89855075,0,1
173,0.0,1,0.29,0,1.0,2,2,0,0.34,0,0.95238096,0,1
174,0.0,0,0.2125,0,1.0,2,6,0,0.26520002,0,0.8910891,0,1
175,0.0,0,0.26,0,0.0,2,2,0,0.35,0,0.9,0,1
176,0.0,1,0.26,0,0.0,2,6,0,0.39,1,0.90225565,0,0
177,0.0,0,0.24,1,0.0,2,2,0,0.39,1,0.779661,0,0
178,0.0,0,0.17,0,1.0,1,1,0,0.3,0,0.4021739,0,1
179,0.0,0,0.29,0,1.0,1,1,0,0.29,0,0.7090909,0,1
180,0.0,0,0.34,0,1.0,2,1,0,0.35,0,0.8014842,0,1
181,0.0,0,0.27,0,0.0,1,1,0,0.39,0,0.8333333,0,1
182,0.0,1,0.28,0,0.0,2,6,0,0.36,0,0.9037037,0,1
183,1.0,0,0.26,0,0.0,1,1,0,0.26,0,0.7361111,0,1
184,0.0,0,0.23,0,0.0,1,1,0,0.36,0,0.7421875,0,1
185,0.0,0,0.22,0,1.0,2,1,0,0.27,0,0.7740113,0,1
186,0.0,0,0.2,0,0.0,2,5,0,0.357,0,0.8,0,1
187,0.0,1,0.19700001,0,1.0,2,1,0,0.3,0,0.88349515,0,1
188,1.0,1,0.29,0,1.0,2,1,0,0.39,0,0.9056604,0,1
189,0.0,0,0.3,0,1.0,2,1,0,0.31,0,0.8979592,0,1
190,0.0,0,0.21,1,1.0,1,2,0,0.43,1,0.5625,0,0
191,0.0,1,0.26,0,1.0,2,6,1,0.4,1,0.5314685,1,0
192,1.0,1,0.23,0,0.0,2,6,0,0.34,0,0.8839286,0,1
193,0.0,0,0.406,1,1.0,2,4,0,0.406,1,0.89830506,0,0
194,0.0,0,0.13,0,1.0,2,1,0,0.23,1,0.33816424,0,0
195,0.0,0,0.37,1,0.0,1,1,0,0.73,1,0.45627376,0,0
196,1.0,1,0.35,0,0.0,2,1,0,0.38,0,0.57723576,0,1
197,1.0,1,0.3609,0,0.0,2,1,0,0.383,0,0.608,0,1
198,0.0,0,0.221,0,1.0,2,1,0,0.32,0,0.89719623,0,1
199,0.0,0,0.25,0,1.0,2,1,0,0.29299998,0,0.8521739,0,1
200,0.0,0,0.235,0,0.0,2,1,0,0.2403,0,0.25641027,0,1
201,0.0,0,0.115,0,0.0,2,2,0,0.19399999,0,0.7277778,0,1
202,1.0,1,0.259,0,0.0,2,6,0,0.294,0,0.57377046,0,1
203,1.0,1,0.269,0,0.0,2,2,0,0.382,0,0.608,0,1
204,0.0,1,0.2796,1,0.0,2,6,0,0.3798,0,0.608,0,1
205,1.0,1,0.2194,0,1.0,2,1,0,0.3359,0,0.80985916,0,1
206,1.0,1,0.27719998,0,0.0,2,6,0,0.39029998,0,0.608,0,1
207,0.0,1,0.3038,0,0.0,2,6,0,0.39279997,0,0.8,0,1
208,0.0,0,0.28,0,1.0,2,5,0,0.28,0,0.82608694,0,1
209,0.0,0,0.26,0,1.0,2,1,0,0.31,0,0.8968254,0,1
210,0.0,0,0.2091,1,0.0,2,1,0,0.3841,0,0.8,0,1
211,0.0,1,0.286,0,0.0,2,1,0,0.33400002,0,0.8896552,0,1
212,1.0,1,0.26,0,0.0,2,1,0,0.29,0,0.8924731,0,1
213,1.0,0,0.3005,0,0.0,2,1,0,0.3309,0,0.7457627,0,1
214,1.0,1,0.3214,0,0.0,2,1,0,0.3369,0,0.93333334,0,1
215,0.0,0,0.314,0,1.0,2,1,0,0.3423,0,0.861244,0,1
216,0.0,1,0.2577,0,0.0,2,5,0,0.3027,1,0.95454544,0,0
217,0.0,0,0.26520002,0,1.0,2,1,0,0.3191,0,0.7924528,0,1
218,0.0,0,0.21100001,0,1.0,2,1,0,0.2463,0,0.6880734,0,1
219,0.0,0,0.2527,1,1.0,2,2,0,0.286,0,0.75348836,0,1
220,0.0,0,0.27,0,0.0,2,6,0,0.27,0,0.79787236,0,1
221,1.0,0,0.25120002,1,0.0,2,2,0,0.282,0,0.9,0,1
222,1.0,0,0.2918,1,0.0,1,1,0,0.32439998,0,0.5647969,0,1
223,1.0,0,0.1889,1,1.0,2,2,0,0.348,0,0.7379679,0,1
224,1.0,0,0.296,0,0.0,2,4,0,0.296,0,0.47923324,0,1
225,0.0,0,0.2627,0,1.0,1,5,0,0.3198,0,0.5322581,0,1
226,0.0,0,0.27879998,1,0.0,2,1,0,0.4001,0,0.40784314,0,1
227,0.0,0,0.2544,0,1.0,2,2,0,0.27629998,0,0.74850297,0,1
228,1.0,0,0.2899,0,0.0,2,2,0,0.3524,0,0.7480916,0,1
229,0.0,0,0.121800005,0,1.0,2,1,0,0.1238,0,0.6930693,0,1
230,1.0,0,0.27,0,0.0,2,1,0,0.34,0,1.9083333,0,1
231,0.0,0,0.18180001,1,1.0,2,1,0,0.2116,0,0.516129,0,1
232,0.0,0,0.2752,0,1.0,1,1,0,0.28260002,0,0.47117794,0,1
233,0.0,0,0.2846,0,1.0,1,1,0,0.289,0,0.7407407,0,1
234,0.0,0,0.25,0,1.0,1,5,0,0.3,0,0.7712766,0,1
235,0.0,0,0.28,0,1.0,2,3,0,0.36,0,0.73593074,0,1
236,0.0,0,0.27,0,1.0,1,1,0,0.32,0,0.5641026,0,1
237,0.0,0,0.32,0,1.0,1,1,0,0.32,1,0.6875,0,0
238,0.0,0,0.2,0,1.0,1,5,0,0.26,0,0.73571426,0,1
239,1.0,0,0.21,0,1.0,1,2,0,0.26,0,0.7075472,0,1
240,1.0,0,0.26,1,0.0,1,2,0,0.32,1,0.79444444,0,0
241,1.0,1,0.33,0,0.0,3,3,1,0.42,0,0.8,0,1
242,0.0,0,0.33,0,0.0,2,5,0,0.34,0,0.64341086,0,1
243,0.0,0,0.34,0,1.0,2,1,0,0.37,0,0.877551,0,1
244,0.0,0,0.28,0,0.0,2,1,0,0.29,0,0.5925926,0,1
245,1.0,0,0.31,0,0.0,2,1,0,0.35,0,0.72,0,1
246,0.0,0,0.27,0,0.0,2,1,0,0.4,0,0.8,0,1
247,1.0,0,0.3,0,0.0,2,1,0,0.36,0,0.9263158,0,1
248,0.0,0,0.27,0,1.0,1,1,0,0.38,0,0.70454544,0,1
249,0.0,0,0.26,0,1.0,1,1,0,0.37,0,0.5777778,0,1
250,0.0,0,0.23,0,0.0,1,1,0,0.41,0,0.7056604,0,1
251,1.0,0,0.31,0,0.0,2,1,0,0.32,0,0.2777778,0,1
252,0.0,0,0.26,0,1.0,2,1,0,0.33,0,0.94623655,0,1
253,0.0,0,0.26,0,1.0,2,1,0,0.33,0,0.81764704,0,1
254,1.0,0,0.21,0,0.0,2,1,0,0.29,0,0.3125,0,1
255,0.0,0,0.11,1,0.0,1,6,0,0.37,0,0.3409091,0,1
256,0.0,0,0.2,0,0.0,2,6,1,0.36,0,0.89880955,0,1
257,1.0,0,0.3,0,1.0,2,1,0,0.37,0,0.7647059,0,1
258,1.0,0,0.3,0,0.0,1,1,0,0.3,0,0.5294118,0,1
259,1.0,0,0.34,0,1.0,2,1,0,0.34,0,0.8117647,0,1
260,1.0,0,0.26,1,1.0,2,2,0,0.42,0,0.75,0,1
261,0.0,0,0.08,0,1.0,1,1,0,0.2,0,0.11111111,0,1
262,0.0,0,0.29,0,1.0,1,2,0,0.3,0,0.53333336,0,1
263,0.0,0,0.27,0,1.0,1,2,0,0.38,0,0.934375,0,1
264,0.0,0,0.31,0,0.0,2,6,0,0.34,0,0.92121214,0,1
265,0.0,0,0.26,1,1.0,1,1,0,0.29,0,0.66785717,0,1
266,0.0,0,0.29,0,1.0,2,1,0,0.32,0,0.9166667,0,1
267,1.0,0,0.3,0,1.0,2,2,0,0.36,0,0.94375,0,1
268,0.0,0,0.3,0,1.0,1,1,0,0.41,0,0.65217394,0,1
269,0.0,0,0.28,0,0.0,2,1,0,0.32,0,0.47445256,0,1
270,0.0,1,0.31,0,1.0,2,1,0,0.38,0,0.824,0,1
271,1.0,0,0.04,0,0.0,1,3,0,0.2,0,0.48507464,0,1
272,0.0,0,0.22,0,0.0,2,4,0,0.28,0,0.9230769,0,1
273,0.0,0,0.25,0,1.0,2,4,0,0.25,0,0.5555556,0,1
274,0.0,0,0.28,0,1.0,2,1,0,0.29,0,0.5753846,0,1
275,1.0,0,0.37,0,0.0,1,2,0,0.49,1,0.91558444,0,0
276,0.0,0,0.24,0,1.0,2,1,0,0.33,0,0.8894737,0,1
277,0.0,0,0.21,0,1.0,1,2,0,0.45,0,0.8015873,0,1
278,0.0,0,0.35,0,0.0,2,1,0,0.41,1,0.92258066,1,0
279,0.0,0,0.28,0,1.0,2,1,0,0.35,0,0.83870965,0,1
280,0.0,0,0.3,0,1.0,3,2,0,0.35,0,0.3508772,0,1
281,0.0,0,0.07,1,1.0,2,1,0,0.08,0,0.7329843,0,1
282,0.0,0,0.25,0,0.0,2,1,0,0.25,0,0.5037037,0,1
283,0.0,0,0.15,0,1.0,2,1,0,0.48,0,0.7266667,0,1
284,0.0,0,0.01,1,1.0,2,1,0,0.36,0,1.4651163,0,1
285,0.0,0,0.31,0,1.0,2,1,0,0.32,0,0.8405797,0,1
286,0.0,0,0.2,0,1.0,2,1,0,0.27,0,0.84388185,0,1
287,0.0,0,0.27,0,1.0,1,1,0,0.34,0,0.79310346,0,1
288,0.0,0,0.3,0,0.0,2,6,1,0.33,0,0.78467155,0,1
289,0.0,0,0.33,0,1.0,2,1,1,0.28,0,0.62857145,0,1
290,0.0,0,0.26,0,1.0,1,2,0,0.34,0,0.8988764,0,1
291,0.0,0,0.36,0,0.0,2,1,0,0.37,0,0.7561644,0,1
292,0.0,0,0.26,0,0.0,2,4,0,0.3,0,0.7345679,0,1
293,0.0,0,0.33,0,1.0,2,1,0,0.36,0,0.68877554,0,1
294,0.0,0,0.1998,1,1.0,4,3,0,0.35509998,0,0.50143266,0,1
295,0.0,0,0.19,1,0.0,2,2,0,0.25,0,0.73142856,0,1
296,0.0,0,0.13,0,1.0,1,4,0,0.14,0,0.34965035,0,1
297,0.0,0,0.2,1,1.0,1,1,0,0.44,0,0.41666666,0,1
298,0.0,0,0.3,0,1.0,2,1,0,0.45,0,1.1481482,0,1
299,0.0,0,0.26,1,1.0,2,1,0,0.37,0,0.80246913,0,1
300,0.0,0,0.3,0,1.0,1,1,0,0.34,0,0.7974026,0,1
301,0.0,0,0.1675,0,1.0,3,3,0,0.27040002,0,0.78698224,0,1
302,0.0,0,0.23,0,1.0,2,2,0,0.23,0,0.6353591,0,1
303,0.0,0,0.29,0,0.0,2,1,0,0.34,0,0.9465649,0,1
304,1.0,0,0.26,0,0.0,2,2,0,0.33,0,0.72789115,0,1
305,1.0,0,0.2697,0,0.0,2,1,0,0.375,0,0.78571427,0,1
306,0.0,0,0.32459998,0,1.0,1,1,0,0.3357,0,0.7736842,0,1
307,0.0,0,0.00085,0,1.0,2,1,0,0.2779,0,0.62857145,0,1
308,0.0,0,0.12,0,1.0,1,1,0,0.41,0,0.4888889,0,1
309,0.0,0,0.3015,0,1.0,1,1,0,0.36290002,0,0.51666665,0,1
310,0.0,0,0.22559999,0,1.0,2,1,0,0.30879998,0,0.7823529,0,1
311,0.0,0,0.282,0,1.0,2,1,0,0.366,0,0.7185185,0,1
312,1.0,0,0.2579,0,0.0,2,1,0,0.3149,0,0.8759124,0,1
313,0.0,0,0.2033,0,1.0,1,1,0,0.2752,0,0.8095238,0,1
314,0.0,0,0.2,0,1.0,1,3,0,0.35,0,0.503876,0,1
315,0.0,0,0.26770002,0,0.0,2,1,0,0.3327,0,0.71428573,0,1
316,0.0,0,0.26,0,1.0,3,3,0,0.32,0,0.46948355,0,1
317,0.0,0,0.2585,0,1.0,1,1,0,0.2642,1,0.78333336,1,0
318,0.0,0,0.17819999,0,1.0,1,2,0,0.3397,1,0.5,0,0
319,1.0,0,0.17819999,0,1.0,1,2,0,0.3397,1,0.5,0,0
320,0.0,0,0.2802,0,1.0,2,1,0,0.36060002,0,0.7185185,0,1
321,0.0,0,0.202,1,1.0,1,1,0,0.3768,0,0.884058,0,1
322,0.0,1,0.278,0,1.0,2,2,0,0.301,0,0.86153847,0,1
323,0.0,0,0.54,0,0.0,2,4,0,0.54,0,0.75,0,1
324,0.0,0,0.337,0,1.0,2,4,0,0.35099998,0,0.62349397,0,1
325,0.0,0,0.271,0,0.0,2,6,0,0.38900003,0,0.91923076,0,1
326,1.0,0,0.32,1,1.0,3,6,0,0.43,1,0.7940447,0,0
327,0.0,0,0.43,1,1.0,2,2,1,0.43,1,0.798005,0,0
328,0.0,0,0.05,0,1.0,1,6,0,0.15,0,0.65806454,0,1
329,0.0,0,0.28,0,0.0,2,1,0,0.34,0,0.8958333,0,1
330,1.0,0,0.21,0,0.0,1,2,0,0.31,0,0.7,0,1
331,0.0,0,0.28,0,1.0,2,2,0,0.37,0,0.9113924,0,1
332,0.0,0,0.27,0,1.0,2,1,0,0.31,0,0.8832117,0,1
333,0.0,0,0.2,0,1.0,2,1,0,0.3,0,0.8947368,0,1
334,0.0,0,0.16,0,1.0,1,1,0,0.16,0,0.20304568,0,1
335,0.0,0,0.23,0,1.0,2,1,0,0.36,0,0.8432836,0,1
336,0.0,0,0.28,0,1.0,2,1,0,0.36,0,0.73421055,0,1
337,0.0,0,0.3,0,1.0,2,1,0,0.4,0,0.69536424,0,1
338,0.0,0,0.3,0,0.0,2,1,0,0.37,0,0.84158415,0,1
339,0.0,0,0.22,1,1.0,1,1,0,0.28,0,0.47368422,0,1
340,0.0,0,0.35,0,1.0,2,5,1,0.43,0,0.5147059,0,1
341,0.0,0,0.27,0,1.0,1,1,1,0.36,0,0.863388,0,1
342,0.0,0,0.24,1,1.0,2,1,0,0.24,0,0.63106793,0,1
343,0.0,0,0.47,1,1.0,1,1,0,0.47,0,0.6510791,0,1
